title,company,location,description,created,category,clean_description
Data Scientist,eTeam,"Veldhoven, Noord-Brabant","Role: Data Scientists Salary : 103k per annum  holidays Contract Position Duration : 11-Aug-2025 - 28-Feb-2026 Remote in the Netherlands with a Valid work visa Description: You will work in Data & Analytics together with other Data Scientists, Data Engineers, Data Analysts, Machine Learning Engineers, Data Stewards and Data Architects. Together you will be joining cross-functional teams consisting of colleagues from Technology, Product and Design from the business domain of Business Support. We…",2025-07-31T22:44:49Z,Data Engineer,role data scientists salary per annum holidays contract position duration remote netherlands valid work visa description work data analytics together data scientists data engineers data analysts machine learning engineers data stewards data architects together joining crossfunctional teams consisting colleagues technology product design business domain business support
Data Architectuur Specialist (Data Modelleur / Data Architect),CIMSOLUTIONS,"Veldhoven, Noord-Brabant","Als Data Architectuur Specialist ben je verantwoordelijk voor het ontwerpen, ontwikkelen, beheren en implementeren van datamodellen en de data-architectuur bij of voor onze gerenommeerde klanten waaronder Belastingdienst, Gemeente Den Haag, diverse ministeries, Centraal Justitieel Incassobureau of VGZ. Afhankelijk van het ervaringsniveau ligt de focus op verschillende aspecten van datamodellering en data-architectuur. Waarom past deze vacature bij jou? Als Data Architectuur Specialist speel jij…",2025-07-09T07:11:50Z,Data Engineer,als data architectuur specialist ben je verantwoordelijk voor het ontwerpen ontwikkelen beheren en implementeren van datamodellen en de dataarchitectuur bij voor onze gerenommeerde klanten waaronder belastingdienst gemeente den haag diverse ministeries centraal justitieel incassobureau vgz afhankelijk van het ervaringsniveau ligt de focus op verschillende aspecten van datamodellering en dataarchitectuur waarom past deze vacature bij jou als data architectuur specialist speel
Lead Data Lifecycle Management,ASML,"Veldhoven, Noord-Brabant","Introduction to the job Data is a team sport. Join us to unlock the value of data at ASML. The increasing data needs in the ASML ecosystem present both challenges and opportunities, such as enabling operations, enhancing decision-making, and improving product performance. Data creation and usage involve everyone in this process. The Chief Data Office (CDO) aims to support ASML in utilizing data for cost-efficient and sustainable growth. The Lead Data Lifecycle Management will be part of the CDO…",2025-07-01T13:09:20Z,Data Engineer,introduction job data team sport join us unlock value data asml increasing data needs asml ecosystem present challenges opportunities enabling operations enhancing decisionmaking improving product performance data creation usage involve everyone process chief data office cdo aims support asml utilizing data costefficient sustainable growth lead data lifecycle management part
Lead Data Quality Management,ASML,"Veldhoven, Noord-Brabant","Introduction to the job Data is a team sport. Join us to accelerate the value of data at ASML. The growing data needs at ASML present significant challenges and opportunities, from enabling operations and enhancing decision-making to improving product performance and surfacing data value for customers and suppliers. Everyone creates and uses data; we all play a part in this journey. Building on past achievements, the Chief Data Office (CDO) aims to support and enable the organization to leverag…",2025-07-01T13:09:20Z,Data Engineer,introduction job data team sport join us accelerate value data asml growing data needs asml present significant challenges opportunities enabling operations enhancing decisionmaking improving product performance surfacing data value customers suppliers everyone creates uses data play part journey building past achievements chief data office cdo aims support enable organization
Recruitment Consultant,Orange Quarter,"Veldhoven, Noord-Brabant","Orange Quarter is looking for a Recruitment Consultant to join a high performing team recruitment team in Amsterdam. We work with some of Amsterdam's best-known startups and scale ups to help them hire across AI, Data, Software Engineering and Product. As a Recruitment Consultant, you might not have previous recruitment experience however, the ideal candidate will at least have a strong understanding of sales and relationship building. You will need to be confident in building relationships, wh…",2025-08-01T03:01:23Z,Data Engineer,orange quarter looking recruitment consultant join high performing team recruitment team amsterdam work amsterdams bestknown startups scale ups help hire across ai data software engineering product recruitment consultant might previous recruitment experience however ideal candidate least strong understanding sales relationship building need confident building relationships
Customer Success Manager- AI/Cancer Care,Invenex Search,"Veldhoven, Noord-Brabant","Customer success manager This role should be focused on onboarding early adopters, driving successful implementation, and ensuring clinical users get value from our early products. Location Netherlands Overview - A mid-to-senior operator with strong delivery instincts - Reporting to the Head of Commercial, working closely with product and delivery teams - Acts as the frontline lead for early adopter onboarding, pilot delivery, and ongoing support - Translates product usage into measurable value…",2025-07-31T22:45:59Z,Data Engineer,customer success manager role focused onboarding early adopters driving successful implementation ensuring clinical users get value early products location netherlands overview midtosenior operator strong delivery instincts reporting head commercial working closely product delivery teams acts frontline lead early adopter onboarding pilot delivery ongoing support translates product usage measurable
Data Strategy Manager,ASML,"Veldhoven, Noord-Brabant","Data is a Team sport. Join us to accelerate the value of data at ASML. The growing massive needs of the ASML ecosystem around data present phenomenal challenges and opportunities. From enabling operations to enhancing decision-making, from improving our products' performance to surfacing the value of data itself for our customers and suppliers. We all create data, we all use data, we are all actors on this journey. Building on previous achievements, the Chief Data Office (CDO) is stepping up to…",2025-07-01T13:09:20Z,Data Engineer,data team sport join us accelerate value data asml growing massive needs asml ecosystem around data present phenomenal challenges opportunities enabling operations enhancing decisionmaking improving products performance surfacing value data customers suppliers create data use data actors journey building previous achievements chief data office cdo stepping
Lead Data Partner,ASML,"Veldhoven, Noord-Brabant","Introduction Data is a team sport. Join us to accelerate the value of data at ASML. The growing needs of the ASML ecosystem around data present phenomenal challenges and opportunities, from enabling operations to enhancing decision-making, improving product performance, and surfacing the value of data for our customers and suppliers. We all create and use data, and we are all actors on this journey. Building on previous achievements, the Chief Data Office (CDO) is stepping up to support and ena…",2025-07-15T12:55:35Z,Data Engineer,introduction data team sport join us accelerate value data asml growing needs asml ecosystem around data present phenomenal challenges opportunities enabling operations enhancing decisionmaking improving product performance surfacing value data customers suppliers create use data actors journey building previous achievements chief data office cdo stepping support
Master/PhD in Computer Science,Innodata Inc.,"Veldhoven, Noord-Brabant","Job Title: AI Trainer (LLM Training – Computer Science Domain) Location: Remote About the Role: We are seeking highly qualified individuals with a Master’s or PhD in Computer Science to join our AI development team as AI Trainers . In this role, you will use your deep technical knowledge to evaluate, annotate, and provide structured feedback on AI-generated content produced by Large Language Models (LLMs). Your expertise will bring a level of precision, technical depth, and computational reason…",2025-07-23T19:03:04Z,Data Engineer,job title ai trainer llm training computer science domain location remote role seeking highly qualified individuals phd computer science join ai development team ai trainers role use deep technical knowledge evaluate annotate provide structured feedback aigenerated content produced large language models llms expertise bring level precision technical depth computational
Senior Data Scientist / Machine Learning Expert,ASML,"Veldhoven, Noord-Brabant","Are you the experienced data Introduction Are you the experienced datascientist that can generate actionable insights from Big Data by advancedmodeling? Are you able to identify, develop and apply the most effective and robust machinelearning approach to analyze complex machine data and apply the results toimprove performance and diagnostics capabilities? Do you consider it part ofyour job to inspire others and share your knowledge with your colleagues, thenread on Job Mission As a Senior Data …",2023-12-18T12:35:47Z,Data Engineer,experienced data introduction experienced datascientist generate actionable insights big data advancedmodeling able identify develop apply effective robust machinelearning approach analyze complex machine data apply results toimprove performance diagnostics capabilities consider part ofyour job inspire others share knowledge colleagues thenread job mission senior data
